,Level,Area,names,Total,Bosniak,Serb,Croat,Bosnian,Romani,Muslim,Bosnian and Herzegovinian,Albanian,Yugoslav,Ukrainian,Montenegrin,Turk,Slovenian,Orthodox,Macedonian,Others,Undeclared,Unknown
117,3,SREBRENIK,Srebrenik,39678,35951,394,1968,485,53,347,111,32,3,NA,1,16,1,6,3,89,184,34
118,3,STARI GRAD SARAJEVO,Stari Grad Sarajevo,36976,32794,467,685,1192,52,221,465,209,21,NA,21,18,7,4,7,217,547,49
119,3,STOLAC,Stolac,14502,5544,279,8486,6,24,5,7,6,2,NA,1,1,1,NA,NA,19,18,103
120,3,TE<U+008A>ANJ,,43063,40461,226,1462,426,3,171,90,28,1,NA,7,NA,NA,NA,NA,24,128,36
121,3,TEO?AK,Teocak,7424,7398,7,5,5,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2
122,3,TESLI?,Teslic,38536,7184,29041,1442,93,63,91,8,NA,48,9,13,1,14,25,2,100,351,51
123,3,TOMISLAVGRAD,Tomislavgrad,31592,2467,22,29006,2,NA,3,NA,11,NA,NA,2,NA,1,NA,NA,11,27,40
124,3,TRAVNIK,Travnik,53482,35648,640,15102,524,210,535,129,55,15,NA,10,13,3,13,6,115,327,137
125,3,TREBINJE,Trebinje,29198,995,27287,295,1,13,17,NA,NA,33,4,217,NA,6,20,14,84,191,21
126,3,TRNOVO - FBiH,Trnovo,1502,1376,97,4,7,NA,4,5,NA,4,NA,1,NA,NA,NA,NA,NA,3,1
127,3,TRNOVO - RS,Trnovo.1,2050,837,1178,15,2,NA,2,NA,NA,1,1,3,NA,NA,NA,NA,1,9,1
128,3,TUZLA,Tuzla,110979,80774,3378,15396,4505,1007,1050,1542,214,97,8,45,35,24,16,40,560,2151,137
129,3,UGLJEVIK,Ugljevik,15710,2186,13412,42,NA,4,3,NA,1,8,NA,4,NA,4,NA,NA,12,21,13
130,3,USORA,,6603,374,61,6095,5,19,3,2,2,NA,NA,2,NA,NA,NA,NA,9,26,5
131,3,VARE<U+008A>,Vareš,8892,5447,189,2820,196,NA,53,42,4,3,NA,3,NA,NA,NA,1,41,91,2
132,3,VELIKA KLADU<U+008A>A,Velika Kladuša,40419,32561,146,636,4781,3,1366,111,26,13,NA,3,NA,3,1,2,98,598,71
133,3,VI<U+008A>EGRAD,Višegrad,10668,1043,9338,33,6,2,13,NA,NA,7,1,5,NA,1,2,1,16,20,180
134,3,VISOKO,Visoko,39938,36697,286,576,566,986,228,134,45,4,4,4,3,4,NA,7,77,266,51
135,3,VITEZ,Vitez,25836,10513,333,14350,54,351,41,20,8,7,NA,10,NA,NA,NA,1,53,74,21
136,3,VLASENICA,Vlasenica,11467,3763,7589,31,NA,3,3,NA,NA,4,1,1,NA,NA,2,NA,16,22,32
137,3,VOGO<U+008A>?A,Vogošca,26343,24351,542,321,331,133,136,165,14,10,NA,8,9,5,4,4,82,212,16
138,3,VUKOSAVLJE,Vukosavlje,4667,2180,1516,776,1,139,3,NA,NA,1,NA,NA,NA,NA,NA,1,4,32,14
139,3,ZAVIDOVI?I,Zavidovici,35988,32735,573,1204,507,411,180,74,29,9,NA,6,NA,1,NA,2,59,162,36
140,3,ZENICA,Zenica,110663,92988,2409,8279,2679,809,531,816,81,91,6,62,18,39,11,21,381,1305,137
141,3,ZVORNIK,Zvornik,58856,19855,38579,106,10,1,20,1,6,13,4,9,NA,3,16,5,41,81,106
x,3,placeholdertesanj,Tešan/ Usora,49666,40835,287,7557,431,22,174,92,30,NA,NA,9,NA,NA,NA,NA,33,154,41
y,3,placeholderbrcko,Brcko,83516,35381,28884,17252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA
