names,Total,Bosniak,Serb,Croat,Bosnian,Romani,Muslim,Bosnian and Herzegovinian,Albanian,Yugoslav,Ukrainian,Montenegrin,Turk,Slovenian,Orthodox,Macedonian,Others,Undeclared,Unknown
Maglaj,23146,19810,810,2041,198,NA,67,44,10,3,2,1,8,3,1,1,40,96,11
Milici,11441,4199,7180,24,NA,9,1,NA,NA,NA,NA,2,NA,NA,NA,4,5,9,8
Modrica,25720,3101,20227,1674,65,168,65,NA,2,23,5,17,NA,8,21,3,52,170,119
Mrkonjic Grad,16671,375,16050,159,1,1,3,2,3,12,NA,5,NA,1,NA,1,8,37,13
Neum,4653,63,21,4543,1,NA,NA,1,3,2,NA,2,NA,NA,NA,NA,3,7,7
Nevesinje,12961,533,12353,28,NA,NA,5,NA,NA,2,NA,3,NA,1,NA,NA,10,19,7
Novi Grad,27115,6439,20116,181,42,41,37,5,1,10,2,10,NA,8,9,3,39,147,25
Novi Grad Sarajevo,118553,99773,4367,4947,3553,481,337,1490,171,103,12,95,91,32,16,43,750,2103,189
Novi Travnik,23832,12067,367,11002,94,43,53,14,7,6,NA,9,3,5,2,3,31,104,22
Novo Goražde,3117,1459,1618,2,2,NA,17,NA,2,NA,NA,1,NA,2,NA,NA,1,6,7
Novo Sarajevo,64814,48188,3402,4639,3164,275,265,1699,151,105,7,120,68,47,10,39,705,1893,37
Oštra Luka,2786,23,2580,160,NA,NA,NA,NA,NA,3,NA,1,NA,1,NA,NA,3,12,3
Odžak,18821,6220,582,11621,98,8,28,9,48,NA,NA,1,NA,1,NA,NA,35,102,68
Olovo,10175,9701,77,230,74,NA,40,6,2,2,NA,NA,NA,NA,NA,NA,15,20,8
Orašje,19861,2015,157,17345,56,2,37,19,28,4,5,2,1,NA,2,3,59,100,26
Osmaci,6016,2895,3095,9,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,4
Pale,904,859,33,1,8,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA
Pale-Praca,20909,186,20451,128,2,NA,2,NA,1,14,2,20,NA,5,NA,4,25,55,14
Pelagicevo,5220,13,3330,1850,1,3,1,NA,NA,1,NA,1,NA,2,NA,NA,3,7,8
Petrovac,361,NA,358,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Petrovo,6474,7,6371,36,2,2,2,NA,NA,4,NA,1,1,NA,NA,1,20,23,4
Posušje,20477,2,5,20424,NA,NA,2,NA,8,NA,NA,NA,NA,NA,NA,NA,2,4,30
Prijedor,89397,29034,55895,1762,107,239,192,11,16,123,356,37,NA,69,129,14,278,746,389
Prnjavor,35956,2979,30673,451,25,40,80,1,NA,41,858,20,NA,25,12,94,385,239,33
Prozor-Rama,14280,3525,3,10702,2,NA,11,1,NA,2,NA,NA,NA,NA,NA,NA,4,7,23
Ravno,3219,20,558,2633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
Ribnik,6048,NA,6018,11,2,1,1,NA,NA,NA,1,NA,NA,4,NA,NA,5,3,2
Rogatica,10723,1117,9527,19,5,NA,18,NA,3,3,1,4,NA,NA,NA,1,8,12,5
Rudo,7963,677,7241,9,3,NA,16,NA,NA,NA,NA,5,NA,NA,NA,NA,3,6,3
Sanski Most,41475,38344,1837,722,202,16,43,25,18,4,NA,1,1,6,10,NA,49,127,70
Sapna,11178,10827,234,3,12,39,32,NA,1,NA,NA,NA,NA,NA,NA,NA,9,10,11
Sokolac,12021,671,11250,29,2,NA,7,3,NA,5,1,6,NA,2,NA,1,11,14,19
Srbac,17587,417,16630,131,5,15,9,NA,NA,11,133,10,NA,10,NA,2,92,92,30
Srebrenica,13409,7248,6028,16,19,4,18,3,2,4,NA,2,NA,NA,4,NA,11,23,27
Srebrenik,39678,35951,394,1968,485,53,347,111,32,3,NA,1,16,1,6,3,89,184,34
Stari Grad Sarajevo,36976,32794,467,685,1192,52,221,465,209,21,NA,21,18,7,4,7,217,547,49
Stolac,14502,5544,279,8486,6,24,5,7,6,2,NA,1,1,1,NA,NA,19,18,103
,43063,40461,226,1462,426,3,171,90,28,1,NA,7,NA,NA,NA,NA,24,128,36
Teocak,7424,7398,7,5,5,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,2
Teslic,38536,7184,29041,1442,93,63,91,8,NA,48,9,13,1,14,25,2,100,351,51
Tomislavgrad,31592,2467,22,29006,2,NA,3,NA,11,NA,NA,2,NA,1,NA,NA,11,27,40
Travnik,53482,35648,640,15102,524,210,535,129,55,15,NA,10,13,3,13,6,115,327,137
Trebinje,29198,995,27287,295,1,13,17,NA,NA,33,4,217,NA,6,20,14,84,191,21
Trnovo,1502,1376,97,4,7,NA,4,5,NA,4,NA,1,NA,NA,NA,NA,NA,3,1
Trnovo.1,2050,837,1178,15,2,NA,2,NA,NA,1,1,3,NA,NA,NA,NA,1,9,1
Tuzla,110979,80774,3378,15396,4505,1007,1050,1542,214,97,8,45,35,24,16,40,560,2151,137
Ugljevik,15710,2186,13412,42,NA,4,3,NA,1,8,NA,4,NA,4,NA,NA,12,21,13
,6603,374,61,6095,5,19,3,2,2,NA,NA,2,NA,NA,NA,NA,9,26,5
Vareš,8892,5447,189,2820,196,NA,53,42,4,3,NA,3,NA,NA,NA,1,41,91,2
Velika Kladuša,40419,32561,146,636,4781,3,1366,111,26,13,NA,3,NA,3,1,2,98,598,71
Višegrad,10668,1043,9338,33,6,2,13,NA,NA,7,1,5,NA,1,2,1,16,20,180
Visoko,39938,36697,286,576,566,986,228,134,45,4,4,4,3,4,NA,7,77,266,51
Vitez,25836,10513,333,14350,54,351,41,20,8,7,NA,10,NA,NA,NA,1,53,74,21
Vlasenica,11467,3763,7589,31,NA,3,3,NA,NA,4,1,1,NA,NA,2,NA,16,22,32
Vogošca,26343,24351,542,321,331,133,136,165,14,10,NA,8,9,5,4,4,82,212,16
Vukosavlje,4667,2180,1516,776,1,139,3,NA,NA,1,NA,NA,NA,NA,NA,1,4,32,14
Zavidovici,35988,32735,573,1204,507,411,180,74,29,9,NA,6,NA,1,NA,2,59,162,36
Zenica,110663,92988,2409,8279,2679,809,531,816,81,91,6,62,18,39,11,21,381,1305,137
Zvornik,58856,19855,38579,106,10,1,20,1,6,13,4,9,NA,3,16,5,41,81,106
Tešan/ Usora,49666,40835,287,7557,431,22,174,92,30,NA,NA,9,NA,NA,NA,NA,33,154,41
Brcko,83516,35381,28884,17252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA
